#{"t_start": 1666530487.3859344, "env_id": null}
r,l,t
8.502325,150,40.825834
8.177462,151,41.006675
8.775491,151,41.006675
15.193938,151,41.006675
10.160857,151,49.857284
9.924092,151,49.949208
9.76629,151,49.949208
7.5695868,151,49.949208
18.452673,151,58.600373
6.9636,151,58.689257
15.174079,151,58.689257
6.851004,151,58.689257
7.431538,151,67.75251
8.64052,151,67.844917
15.037952,151,67.844917
9.7154255,151,67.844917
13.929897,151,76.689991
9.453068,151,76.805834
10.717304,151,76.805834
6.4987893,151,76.805834
10.671352,151,85.597899
12.150784,151,85.659834
12.367491,151,85.659834
12.678715,151,85.659834
17.97383,151,94.882866
16.63843,151,94.944335
12.3120775,151,94.944335
7.606713,151,94.944335
14.980441,151,103.714088
15.756609,151,103.8065
12.571507,151,103.8065
7.167698,151,103.8065
13.084692,151,112.550731
6.786885,151,112.689584
9.099614,151,112.689584
13.876964,151,112.689584
12.907403,151,121.645874
10.370305,151,121.691302
7.628333,151,121.691302
2.2531857,151,121.691302
12.114754,151,130.505322
15.614773,151,130.611694
12.075985,151,130.611694
5.115105,151,130.611694
12.5317335,151,139.458208
9.448209,151,139.503643
12.658726,151,139.503643
6.653107,151,139.503643
9.644291,151,148.356311
8.637587,151,148.462192
13.771071,151,148.462192
4.5189776,151,148.462192
7.000973,150,175.980538
7.7177567,150,176.072459
11.323963,150,176.072459
10.341306,150,176.072459
2.7617116,151,185.032385
2.9791718,151,185.124816
2.8116193,151,185.124816
11.654938,151,185.124816
6.0593624,151,193.777466
4.983346,151,193.891365
7.342098,151,193.891365
6.761885,151,193.891365
7.2838173,151,202.699634
14.624596,151,202.791519
3.3917277,151,202.791519
5.958441,151,202.791519
3.064613,151,211.631433
4.5029407,151,211.661899
6.3028016,151,211.661899
4.2005687,151,211.661899
7.223459,151,220.46512
10.828468,151,220.526557
4.430895,151,220.526557
6.7807035,151,220.526557
10.148887,151,229.274797
2.6216495,151,229.352739
9.154379,151,229.352739
3.4461513,151,229.352739
8.091267,151,238.075008
3.0197198,151,238.166403
9.918939,151,238.166403
6.2747416,151,238.166403
14.089431,151,246.94394
6.5480247,151,247.051282
4.491737,151,247.051282
10.683172,151,247.051282
8.723994,151,255.89526
9.702681,151,256.007117
8.79419,151,256.007117
9.995544,151,256.007117
3.2828314,151,264.898158
2.5845327,151,265.002009
2.8647912,151,265.002009
8.162575,151,265.002009
2.755488,151,273.830559
5.861076,151,273.876508
5.9725094,151,273.876508
6.8722887,151,273.876508
2.5388358,151,282.722152
7.82403,151,282.774662
6.948946,151,282.775659
4.606985,151,282.775659
10.924145,151,291.602284
7.58561,151,291.693682
11.421487,151,291.693682
2.2332494,151,291.693682
8.457901,151,307.630243
5.960185,151,307.722124
7.4671597,151,307.722124
3.1581366,151,307.722124
-32.909447,151,316.560152
4.4030743,151,316.714747
-58.241055,151,316.714747
11.346487,151,316.714747
17.21115,151,325.731195
10.497161,151,325.838057
9.654912,151,325.838057
4.712903,151,325.838057
7.2896347,151,334.722087
2.3226044,151,334.84344
3.6463208,151,334.84344
12.504864,151,334.84344
12.57471,151,343.735582
8.826842,151,343.827495
11.458616,151,343.827495
-29.915562,151,343.827495
8.975437,151,352.627483
8.307522,151,352.779829
3.5636723,151,352.779829
8.439924,151,352.779829
10.032362,151,361.559361
6.5962367,151,361.650254
9.910243,151,361.650254
7.2759976,151,361.650254
8.666708,151,370.593575
10.130649,151,370.685503
-43.640335,151,370.686502
-15.262968,151,370.686502
6.735786,151,379.506106
5.1534925,151,379.597491
8.014782,151,379.597491
5.9715805,151,379.597491
13.279753,151,388.417756
8.953881,151,388.556626
10.220918,151,388.557625
9.164591,151,388.557625
7.908408,151,397.358885
7.564276,151,397.449781
11.700632,151,397.449781
14.5809,151,397.449781
11.91643,151,406.280591
